Testosterone>25,,Testosterone<=25,
X,Y,X,Y
1310.0000000000002,0.011155488769376776,1310.0000000000002,0.03346646630813033
1320.0000000000002,0.011155488769376776,1320.0000000000002,0.03346646630813033
1330.0000000000002,0.011155488769376776,1330.0000000000002,0.03346646630813033
1340.0000000000002,0.011155488769376776,1340.0000000000002,0.03346646630813033
1350.0000000000002,0.011155488769376776,1350.0000000000002,0.03346646630813033
1360.0000000000002,0.011155488769376776,1360.0000000000002,0.03346646630813033
1370.0000000000002,0.011155488769376776,1370.0000000000002,0.03346646630813033
1380.0000000000002,0.011155488769376776,1380.0000000000002,0.03346646630813033
1390.0000000000002,0.011155488769376776,1390.0000000000002,0.03346646630813033
1400.0000000000005,0.011155488769376776,1400.0000000000005,0.03346646630813033
1410.0000000000002,0.011155488769376776,1410.0000000000002,0.03346646630813033
1420.0000000000002,0.011155488769376776,1420.0000000000002,0.03346646630813033
1430.0000000000002,0.011155488769376776,1430.0000000000002,0.03346646630813033
1440.0000000000002,0.011155488769376776,1440.0000000000002,0.03346646630813033
1450.0000000000002,0.011155488769376776,1450.0000000000002,0.03346646630813033
1460.0000000000002,0.011155488769376776,1460.0000000000002,0.03346646630813033
1470.0000000000002,0.011155488769376776,1470.0000000000002,0.03346646630813033
1480.0000000000002,0.011155488769376776,1480.0000000000002,0.03346646630813033
1490.0000000000002,0.011155488769376776,1490.0000000000002,0.03346646630813033
1500.0000000000002,0.011155488769376776,1500.0000000000002,0.03346646630813033
1510.0000000000005,0.011155488769376776,1510.0000000000005,0.03346646630813033
1520.0000000000002,0.011155488769376776,1520.0000000000002,0.03346646630813033
1530.0000000000002,0.011155488769376776,1530.0000000000002,0.03346646630812877
1540.0000000000002,0.011155488769376776,1540.0000000000002,0.033466466308132325
1550.0000000000002,0.011155488769376776,1550.0000000000002,0.03346646630995109
1560.0000000000002,0.011155488769376776,1560.0000000000002,0.033466466222321634
1570.0000000000002,0.011155488769376776,1570.0000000000002,0.03346646781184792
1580.0000000000002,0.011155488769376776,1580.0000000000002,0.033466511205745286
1590.0000000000002,0.011155488769376998,1590.0000000000002,0.033462701613422796
1600.0000000000002,0.011155488769371447,1600.0000000000002,0.03358310028531064
1610.0000000000005,0.011155488769383437,1610.0000000000005,0.026137256673562925
1620.0000000000005,0.011155488775407285,1620.0000000000005,0.021924043758572598
1630.0000000000002,0.01115548848483594,1630.0000000000002,0.02232420789741285
1640.0000000000002,0.011155493766754399,1640.0000000000002,0.022310787831248735
1650.0000000000005,0.011155637220743087,1650.0000000000005,0.022310519633078396
1660.0000000000005,0.011143011793681046,1660.0000000000005,0.02234907525522445
1670.0000000000005,0.011583502468553553,1670.0000000000005,0.021006262399664744
1680,0.012740025024231993,1680,0.017492656933736805
1690,0.011181415297946806,1690,0.012819652375300361
1700.0000000000002,0.011154601192399971,1700.0000000000002,0.01274671573760866
1710.0000000000002,0.011155500497139537,1710.0000000000002,0.012749161922652519
1720.0000000000002,0.011155489078487735,1720.0000000000002,0.012749130862952596
1730.0000000000002,0.011155488749653442,1730.0000000000002,0.012749129968495865
1740.0000000000002,0.011155488769819533,1740.0000000000002,0.012749130023349098
1750.0000000000002,0.011155488769376332,1750.0000000000002,0.012749130022143396
1760.0000000000002,0.011155488769376332,1760.0000000000002,0.01274913002214384
1770.0000000000002,0.011155488769376776,1770.0000000000002,0.01274913002214495
1780.0000000000002,0.011155488769376776,1780.0000000000002,0.01274913002214495
1790.0000000000002,0.011155488769376776,1790.0000000000002,0.01274913002214495
1800.0000000000002,0.011155488769376776,1800.0000000000002,0.01274913002214495
1810.0000000000005,0.011155488769376776,1810.0000000000005,0.01274913002214495
1820.0000000000005,0.011155488769376776,1820.0000000000005,0.01274913002214495
1830.0000000000005,0.011155488769376776,1830.0000000000005,0.01274913002214495
1840.0000000000005,0.011155488769376776,1840.0000000000005,0.01274913002214495
1850.0000000000005,0.011155488769376776,1850.0000000000005,0.01274913002214495
1860.0000000000005,0.011155488769376776,1860.0000000000005,0.01274913002214495
